review_title	review_content	movie_rating
 How cost the lie? 	This film is a beautifully made anti-Soviet and anti-Russian propaganda. How cost the lie? You can see the cost of this HBO Series to understand how much. 20% of the film is true facts and 80% hypocritical lies. The art of the producers is how the true facts are subtly woven into the web of lies. People who have never seen documentary films about this catastrophe will never be able to determine this fact.Some facts - Legasov was not a physicist, he was a chemist! At that time, the Soviet Union was dry law and therefore no one could give a soldier or other worked people the vodka! Legasov's report at the IAEA was never challenged by anyone until now.Scherbina was an engineer by education, she was in charge of the energy sector of the Soviet industry and therefore knew the structure of the nuclear power plant well.Both Shcherbina and Legasov were communists (they were members of the Communist Party), and also were the elite of Soviet society, and therefore, as shown in the film, they could not communicate disrespectfully among themselves. Scientists in Soviet society greatly respected scientists.Legasov and Shcherbina did not attend the trial and therefore did not reveal any "truth"."The bridge of death" - that was what the locals called him before the explosion, because a motorcyclist died in this place several years ago. And it was just a local story. Since the explosion occurred at 2 am, no one came to the bridge, everyone was asleep !!!! Check this facts himself and know how cost the lie.	1
 Too Many Scientific Inaccuracies 	I cannot give this show a good review for one reason and that is due to historical and scientific inaccuracies. This show will only serve to further enhance the public fear of nuclear power and will lead to people fighting against a technology that is cleaner and safer than any other on the planet.	1
 It's terrible that people are able to believe such a mediocre lie 	I lived in the Soviet Union, I live in Russia, I was much interested in this tragedy. And I keep worrying that someone perceives it as having at least some relationship to the truth. In each frame a lie, people act and talk is not even close as the Soviet people, something that was, in reality, is not even close to the attitude to what is shown in the series. Everything's a lie, I feel sorry for the people who are so blatantly cheating, trying to replace the truth with emotion. This series is exclusively anti-Russian propaganda, in everything. Even the colors of the frames are such as to cause negative emotions. The plot is mediocre, as well as the game actors. People's behavior looks like they are from another planet, the Russians are not like that. You try to cheat in every frame and every fact.	1
 How did this get good reviews? 	Call me a conspiracy theorist, but reading down all the 10 star reviews and most of them are 'I'm russian' or 'I work in a nuclear power plant' or 'I'm from ukraine'... frankly I call BS!!Started to watch this, honestly after 20 minutes the terrible acting was annoying me almost as much as the fact everyone sounded like they were in a 1960s English sitcom. Surely getting some actors who actually sound Russian would have helped?Anyway, very disappointed. Shame was looking forward to this	1
 Lie about everything 	Lie about most things. Dead tolls, radiation levels, involved ppl etc etc. If you want to know real story - use other sources.	1
 Diversity Hipocrisy from HBO 	If the first world country (U. S) so aching to bring it's ''first world'' problems ( like diversity) to the rest of the world, Why soviets for some reason suddenly became brits? If you do real life events of people and countries outside of America and UK, you should get their actors who can deliver job as well as yours would do.FX half-did it with ''Americans'', NETFLIX did it with ''Narcos''. Chernobyl should have Ukranian and Russian cast. Double standarts from american tv corps.	1
 Lie for the sake of entertainment 	I'm more than convinced that Chernobyl is a stunning portrayal of the disaster which is in fact mostly forgotten now in modern Russia with all its heroes and villains. And I'm as a person who was somehow involved and somewhat suffered from the events really grateful for the attempt to remind the world of the tragedy which left a bleeding wound in our hearts.Yet despite the great work of telling that story I'm bitterly upset by the fact that it fails to tell the truth, which is ironical given the statements that creators was making promoting the movie. The truth here fell the victim of the entertainment.My only regret is for people who lost their lives saving others only to be stigmatised by the modern dull, stereotypical propaganda.	1
 Why is it become so popular to believe in lie today? 	Before watching this series, you should see the reaction of really living people now about the tragedy of those days. Those people who really lived and worked there. The series contains too much false information, so many effects for raising views. This is a tragedy, it is not for hype. There are so many reports with people about this series on YouTube, with real miners, with real people. They all laugh at the show as one! How could human stories be so distorted! If you understand the Russian language - my advice to you: go and see better the footage from the interview AFTER the release of the film. Just thanks to such a deceitful series, people tell how everything happened in the REALLY ACT.Verdict - this series is insanely disgusting. As Russian I found that series the worst series I have ever seen.P.S. Never let foreigners show the events of your country without consulting historians and eyewitnesses, if your task is to shoot a good film that it would really be a shame to advise others.	1
 This movie definitely deserves 1 star. 	Great job on details on hairstyles of women, some clothes, interior elements. This gets .5 star. Another .5 start is for identity of old buildings that haven't functioned for more than 30 years. Unfortunately, the writer demonstrated zero understanding of the soviet system. He put way too many idiotic scenes and broken logical lines. Too many scenes created through the prism of the American mentality and the mentality of a person who grew up in a capitalist system. That's why those scenes are laughable. Btw, Actors did a good job.	1
 Anti-USSR movie 	Typical western-world propaganda about how bad USSR was. My father was there and I can state that a lot of things from movie are real lie.	1
